cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z CpMean It Uin gradp Angle
98100 0.024834 0.41872 0.0481313 5.13763 -0.670898 -1.18312 -0.585685 0.0562346 1.03446 1.1607 22.5
98101 0.0423197 0.419686 0.0656135 3.51374 -0.178239 -0.57251 -0.558519 0.0460726 1.03494 1.07722 22.5
98111 -0.0217595 0.402161 -0.0455075 3.23702 -0.51152 0.376677 -0.75471 0.0143519 1.02615 1.54939 22.5
98112 -0.00428194 0.402121 -0.0276063 1.65911 -0.538114 1.86667 -0.707381 0.0155259 1.02613 1.97238 22.5
98113 -0.0218296 0.418455 -0.0277106 9.33362 1.1917 2.00094 -0.706403 0.0481007 1.03433 4.24522 22.5
98114 -0.00428184 0.402159 -0.0455079 7.57796 -0.492004 2.27165 -0.709482 0.0150914 1.02615 2.05879 22.5
98115 -0.0218218 0.418728 -0.0456057 13.3021 0.862789 4.26908 -0.602379 0.0367715 1.03447 6.00711 22.5
98116 -0.00429482 0.418698 -0.0456096 13.5337 -0.0307731 5.67447 -0.576524 0.0361659 1.03445 4.74231 22.5
98117 -0.00429634 0.41842 -0.0277125 9.84283 -0.249596 3.0367 -0.67242 0.0473828 1.03431 3.69691 22.5
98120 0.0190069 0.402247 -0.0517351 10.0405 0.813744 0.786586 -0.683658 0.019024 1.02619 4.98454 22.5
98121 0.00154061 0.402246 -0.0517354 9.7353 0.841305 1.42362 -0.720031 0.0198573 1.02619 4.65781 22.5
98122 0.0190111 0.418929 -0.0516826 13.1438 0.428157 6.89949 -0.504121 0.0436488 1.03457 5.0131 22.5
98123 0.00153429 0.418918 -0.0516853 13.5452 0.319809 6.40637 -0.529146 0.0420367 1.03456 5.46251 22.5
98125 -0.0217583 0.402248 -0.0517346 7.83129 1.13279 1.79944 -0.767658 0.0195447 1.02619 4.29056 22.5
98128 -0.00428183 0.402246 -0.0517353 9.47211 0.870717 1.61909 -0.730287 0.020051 1.02619 4.5993 22.5
98129 -0.0218179 0.418947 -0.0516809 13.8697 1.03188 4.8704 -0.55184 0.0388327 1.03458 6.61295 22.5
